Book Name,Total Quotes,Errors Found,Accuracy (%)
AutismInHeels_JeniferCookOtoole,18,4,77.78
TheGlassCastle_JwannetteWalls,214,61,71.5
MyBrilliantFriend_ElenaFerrante,19,6,68.42
ItsJustYourImagination_RevitalShiriHorowitz,9,2,77.78
FamilyLexicon_NataliaGinzburg,39,5,87.18
TheGlassCastle_JwannetteWalls,215,50,76.74
ItsJustYourImagination_RevitalShiriHorowitz,6,0,100.0
MyBrilliantFriend_ElenaFerrante,13,6,53.85
AutismInHeels_JeniferCookOtoole,9,2,77.78
TheWinterofMySoul_SusanEHughes,17,4,76.47
TheWinterofMySoul_SusanEHughes,21,7,66.67
WhatLooksLikeBravery_LaurelBraitman,52,7,86.54
FamilyLexicon_NataliaGinzburg,35,5,85.71
WhatLooksLikeBravery_LaurelBraitman,50,11,78.0
TOTAL OVERALL,717,170,76.29
